Unique ID,Product Name,Model,Company,search,best_buy_link
1,Jabra Enhance,Enhance Select 200 Premium,GN Resound,Jabra EnhanceEnhance Select 200 Premium,n/a
2,Jabra Enhance,Enhance Select 200 Basic,GN Resound,Jabra EnhanceEnhance Select 200 Basic,n/a
3,Jabra Enhance,Enhance Select 100 Premium,GN Resound,Jabra EnhanceEnhance Select 100 Premium,n/a
4,Jabra Enhance,Enhance Select 100 Basic,GN Resound,Jabra EnhanceEnhance Select 100 Basic,n/a
5,Jabra Enhance,Enhance Select 50 Premium,GN Resound,Jabra EnhanceEnhance Select 50 Premium,https://www.bestbuy.com/site/jabra-enhance-select-50r-rechargeable-hearing-aids-with-remote-professional-care-and-bluetooth-streaming-gray/6558670.p?skuId=6558670
6,Jabra Enhance,Enhance Select 50 Basic,GN Resound,Jabra EnhanceEnhance Select 50 Basic,n/a
182,Jabra Enhance,Enhance Select 500 Premium,GN Resound,Jabra EnhanceEnhance Select 500 Premium,https://www.bestbuy.com/site/jabra-enhance-select-500-gold/6584784.p?skuId=6584784
183,Jabra Enhance,Enhance Select 500 Basic,GN Resound,Jabra EnhanceEnhance Select 500 Basic,n/a
184,Jabra Enhance,Enhance Select 300 Premium,GN Resound,Jabra EnhanceEnhance Select 300 Premium,https://www.bestbuy.com/site/jabra-enhance-select-300-sparkling-silver/6589072.p?skuId=6589072
185,Jabra Enhance,Enhance Select 300 Basic,GN Resound,Jabra EnhanceEnhance Select 300 Basic,n/a
7,Eargo,Eargo 5,Eargo 5,EargoEargo 5,n/a
8,Eargo,Eargo 6,Eargo 6,EargoEargo 6,n/a
9,Eargo,Eargo 7,Eargo 7,EargoEargo 7,https://www.bestbuy.com/site/eargo-7-self-fitting-otc-cic-hearing-aid-black/6532925.p?skuId=6532925
10,Lexie,Lexie Lumen,hearX Group,LexieLexie Lumen,https://www.bestbuy.com/site/lexie-hearing-lexie-lumen-self-fitting-otc-hearing-aids-bronze/6482035.p?skuId=6482035
11,Lexie,Lexie B1 ,hearX Group,LexieLexie B1 ,https://www.bestbuy.com/site/lexie-hearing-lexie-b1-otc-hearing-aids-powered-by-bose-light-gray/6520033.p?skuId=6520033
12,Lexie,Lexie B2,hearX Group,LexieLexie B2,https://www.bestbuy.com/site/lexie-hearing-lexie-b2-plus-powered-by-bose-gray/6568962.p?skuId=6568962
13,IQbuds2 MAX,IQbuds2 MAX,Nuheara Limited,IQbuds2 MAXIQbuds2 MAX,https://www.bestbuy.com/site/combo/hearing-aids/404751ec-18b1-4c8a-8e9b-7d20919b7f92
14,HP Hearing Pro,HP Hearing Pro,Nuheara Limited ,HP Hearing ProHP Hearing Pro,https://www.bestbuy.com/site/hp-hearing-pro-self-fitting-otc-hearing-aids-grey/6521099.p?skuId=6521099
15,Air,Air 3,MD Hearing,AirAir 3,n/a
16,Neo,Neo,MD Hearing,NeoNeo,n/a
159,Neo ,Neo XS,MD Hearing,Neo Neo XS,n/a
17,Volt,Volt,MD Hearing,VoltVolt,n/a
18,Volt,Volt Max,MD Hearing,VoltVolt Max,n/a
19,C10,CRE-C10,Sony,C10CRE-C10,n/a
20,E10,CRE-E10,Sony,E10CRE-E10,n/a
21,Engage Rechargeable,Engage Rechargeable,Lucid Hearing,Engage RechargeableEngage Rechargeable,https://www.bestbuy.com/site/lucid-hearing-otc-engage-bte-rechargeable-hearing-aids-ios-gray/6481947.p?skuId=6481947
22,fio,fio,Lucid Hearing,fiofio,n/a
23,Engage,Engage,Lucid Hearing,EngageEngage,n/a
24,Enrich ,Enrich,Lucid Hearing,Enrich Enrich,n/a
25,Enrich Pro BTE,Enrich Pro BTE,Lucid Hearing,Enrich Pro BTEEnrich Pro BTE,n/a
26,Tala,Tala,Lucid Hearing,TalaTala,n/a
27,Enlite,Enlite,Lucid Hearing,EnliteEnlite,https://www.bestbuy.com/site/lucid-hearing-enlite-otc-hearing-aids-black/6483478.p?skuId=6483478
28,HearGear,HearGear,Lucid,HearGearHearGear,n/a
29,Atom Series,Atom,Audien Hearing,Atom SeriesAtom,n/a
30,Atom Series,Atom Pro,Audien Hearing,Atom SeriesAtom Pro,n/a
31,EV,EV1,Audien Hearing,EVEV1,n/a
32,EV,EV3,Audien Hearing,EVEV3,n/a
33,BTE Series,Audien BTE,Audien Hearing,BTE SeriesAudien BTE,n/a
34, RSH05BG, RSH05BG,RCA Hearing Aids, RSH05BG RSH05BG,n/a
35,RSH052, RSH052,RCA Hearing Aids,RSH052 RSH052,n/a
36,Rechargeable Digital Hearing Aids , RSH20,RCA Hearing Aids,Rechargeable Digital Hearing Aids  RSH20,n/a
37,RCA Hearing Aid Behind-the-Ear Micro Design with Charging Case,RSH062,RCA Hearing Aids,RCA Hearing Aid Behind-the-Ear Micro Design with Charging CaseRSH062,n/a
38,RCA Hearing Aid In-Ear Canal Design with Charging Case,RSH30,RCA Hearing Aids,RCA Hearing Aid In-Ear Canal Design with Charging CaseRSH30,n/a
39,RCA Behind-the-Ear Hearing Aids with Table-Top Charging Stand,RSH053,RCA Hearing Aids,RCA Behind-the-Ear Hearing Aids with Table-Top Charging StandRSH053,n/a
40,Stealth,Stealth Pro,Auditech Hearing Aids,StealthStealth Pro,n/a
41,Stealth,CIC Stealth,Auditech Hearing Aids,StealthCIC Stealth,n/a
42,Lightning RX,Lightning RX,Auditech Hearing Aids,Lightning RXLightning RX,n/a
43,BHA 100 Series,Braun Clear BHA 100,"Kaz, USA, Inc.",BHA 100 SeriesBraun Clear BHA 100,n/a
44,Olive SmartEar Plus,Olive SmartEar Plus,Olive Union,Olive SmartEar PlusOlive SmartEar Plus,n/a
45,Olive Max,Olive Max,Olive Union,Olive MaxOlive Max,n/a
46,Stream,Stream,Hearing Assist,StreamStream,n/a
47,EAZE 2.0,EAZE 2.0,Hearing Assist,EAZE 2.0EAZE 2.0,n/a
48,Control 2.0,Control 2.0,Hearing Assist,Control 2.0Control 2.0,n/a
49,Micro,Micro,Hearing Assist,MicroMicro,n/a
50,Connect,Connect,Hearing Assist,ConnectConnect,n/a
51,HA 302,HA 302,Hearing Assist,HA 302HA 302,n/a
52,HA802,HA802,Hearing Assist,HA802HA802,n/a
53,HA 900,HA 900,Hearing Assist,HA 900HA 900,n/a
54,Treo,Treo,iHear,TreoTreo,n/a
55,Matrix,Matrix,iHear,MatrixMatrix,n/a
56,Axis,Axis,iHear,AxisAxis,n/a
57,Linx,Linx,iHear,LinxLinx,n/a
58,Xplore,Xplore,iHear,XploreXplore,n/a
59,Aura,Aura,Audicus,AuraAura,n/a
60,Wave,Wave,Audicus,WaveWave,n/a
61,Wave,Wave,Audicus,WaveWave,n/a
62,Spirit 1,Spirit 1,Audicus,Spirit 1Spirit 1,n/a
63,Spirit 1,Spirit 1,Audicus,Spirit 1Spirit 1,n/a
64,Spirit 2,Spirit 2,Audicus,Spirit 2Spirit 2,n/a
65,Spirit 2,Spirit 2,Audicus,Spirit 2Spirit 2,n/a
66,Omni 1,Omni 1,Audicus,Omni 1Omni 1,n/a
67,Omni 1,Omni 1,Audicus,Omni 1Omni 1,n/a
68,Omni 2,Omni 2,Audicus,Omni 2Omni 2,n/a
69,Omni 2,Omni 2,Audicus,Omni 2Omni 2,n/a
70,Mini,Mini,Audicus,MiniMini,n/a
71,Oricle,Oricle,Oricle,OricleOricle,n/a
72,Primo,Primo R401,NewSound,PrimoPrimo R401,n/a
73,TWS Hearing Aids,PocoXA601,NewSound,TWS Hearing AidsPocoXA601,n/a
74,TWS Hearing Aids,PocoX808,NewSound,TWS Hearing AidsPocoX808,n/a
75,TWS Hearing Aids,PocoX403,NewSound,TWS Hearing AidsPocoX403,n/a
76,APP Control Hearing Aids,Poco ZA401,NewSound,APP Control Hearing AidsPoco ZA401,n/a
77,APP Control Hearing Aids,Forte MA201,NewSound,APP Control Hearing AidsForte MA201,n/a
78,BTE Hearing Aids,108,NewSound,BTE Hearing Aids108,n/a
79,BTE Hearing Aids,107,NewSound,BTE Hearing Aids107,n/a
80,BTE Hearing Aids,Primo DA801,NewSound,BTE Hearing AidsPrimo DA801,n/a
81,BTE Hearing Aids,Primo S201,NewSound,BTE Hearing AidsPrimo S201,n/a
82,ITE Hearing Aids,Poco Z101,NewSound,ITE Hearing AidsPoco Z101,n/a
83,ITE Hearing Aids,Poco ZA401,NewSound,ITE Hearing AidsPoco ZA401,n/a
84,ITE Hearing Aids,MU803,NewSound,ITE Hearing AidsMU803,n/a
85,ITE Hearing Aids,Poco M401,NewSound,ITE Hearing AidsPoco M401,n/a
86,Neckband Hearing Amplifier,BW51,NewSound,Neckband Hearing AmplifierBW51,n/a
87,Neckband Hearing Amplifier,BW52,NewSound,Neckband Hearing AmplifierBW52,n/a
88,Go ultra,Go ultra,Go Hearing,Go ultraGo ultra,https://www.bestbuy.com/site/go-hearing-go-ultra-otc-hearing-aids-gray/6544356.p?skuId=6544356
89,Go prime,Go prime,Go Hearing,Go primeGo prime,https://www.bestbuy.com/site/go-hearing-go-prime-otc-hearing-aids-black/6513095.p?skuId=6513095
90,Go lite,Go lite,Go Hearing,Go liteGo lite,n/a
91,Sontro,Sontro,"Soundwave Hearing, LLC",SontroSontro,n/a
92,HD75,HD75,Sound World Solutions,HD75HD75,n/a
93,HD75R,HD75R,Sound World Solutions,HD75RHD75R,n/a
94,CS50,CS50,Sound World Solutions,CS50CS50,n/a
95,HD100 Companion,HD100 Companion,Sound World Solutions,HD100 CompanionHD100 Companion,n/a
96,Nova,Nova,Linner,NovaNova,https://www.bestbuy.com/site/linner-nova-noise-canceling-otc-bluetooth-hearing-aids-with-volume-control-and-wireless-microphone-white/6545192.p?skuId=6545192
97,Nova Lite,Nova Lite,Linner,Nova LiteNova Lite,https://www.bestbuy.com/site/linner-nova-lite-otc-bluetooth-hearing-aids-with-noise-canceling-and-volume-control-blue/6557603.p?skuId=6557603
98,Deluxe,Deluxe,Linner,DeluxeDeluxe,n/a
160,Mars,Mar,Linner,MarsMar,https://www.bestbuy.com/site/linner-mars-otc-hearing-aids-with-noise-feedback-cancellation-discreet-fit-for-all-day-comfort-with-focus-mode-stellar-white/6583824.p?skuId=6583824
161,Mercury,Mercury,Linner,MercuryMercury,https://www.bestbuy.com/site/linner-mercury-otc-rechargeable-hearing-aids-for-seniors-with-noise-cancellation-easy-to-use-3-modes-9-volume-levels-ocean-blue/6562683.p?skuId=6562683
179,Venus,Venus,Linner,VenusVenus,https://www.bestbuy.com/site/linner-venus-high-fidelity-otc-hearing-aids-clear-sound-comfort-fit-smart-controls-ideal-for-tv-and-hearing-loss-onyx-black/6593573.p?skuId=6593573
180,Saturn,Saturn,Linner,SaturnSaturn,n/a
99,Core One,Core One,Audicon Corporation,Core OneCore One,n/a
100,Beacon,Beacon,Audicon Corporation,BeaconBeacon,n/a
101,NANO CIC Recharge OTC Hearing Aids,CIC2,Nano Hearing Aids,NANO CIC Recharge OTC Hearing AidsCIC2,n/a
102,NANO CIC Digital Recharge OTC Hearing Aids,CIC4,Nano Hearing Aids,NANO CIC Digital Recharge OTC Hearing AidsCIC4,n/a
103,Nano X2 Recharge OTC Hearing Aids,BTE4,Nano Hearing Aids,Nano X2 Recharge OTC Hearing AidsBTE4,n/a
104,Nano Sigma Plus Bluetooth OTC Hearing Aids,BTEPlus,Nano Hearing Aids,Nano Sigma Plus Bluetooth OTC Hearing AidsBTEPlus,n/a
105,Helix,Helix,Otofonix Hearing Solutions,HelixHelix,n/a
106,Encore,Encore,Otofonix Hearing Solutions,EncoreEncore,n/a
107,Groove,Groove,Otofonix Hearing Solutions,GrooveGroove,n/a
108,Elite,Elite,Otofonix Hearing Solutions,EliteElite,n/a
109,Apex,Apex,Otofonix Hearing Solutions,ApexApex,n/a
110,Sona,Sona,Otofonix Hearing Solutions,SonaSona,n/a
111,Tweak Enhance Hearing Amplifier,Tweak Enhance,Ear Technology Corporation,Tweak Enhance Hearing AmplifierTweak Enhance,n/a
112,Tweak Hearing Amplifier,Tweak ,Ear Technology Corporation,Tweak Hearing AmplifierTweak ,n/a
113,Tweak Hearing Amplifier,Tweak Focus+T,Ear Technology Corporation,Tweak Hearing AmplifierTweak Focus+T,n/a
114,The Workhouse,The Workhouse,Injoy,The WorkhouseThe Workhouse,n/a
115,The Choice,The Choice,Injoy,The ChoiceThe Choice,n/a
116,The Security,The Security,Injoy,The SecurityThe Security,n/a
117,All-Clear Hearing Aid,ADC1,Sennheiser,All-Clear Hearing AidADC1,https://www.bestbuy.com/site/sennheiser-all-day-clear-otc-self-fitting-hearing-aid-for-mild-to-moderate-hearing-loss-all-day-wear-bluetooth-gray/6547879.p?skuId=6547879
118,All-Clear Hearing Aid Slim,ADCS1,Sennheiser,All-Clear Hearing Aid SlimADCS1,https://www.bestbuy.com/site/sennheiser-all-day-clear-slim-otc-self-fitting-hearing-aid-for-mild-to-moderate-hearing-loss-all-day-wear-bluetooth-gray/6547880.p?skuId=6547880
119,ZVOX Voicebud,VB20,ZVOX,ZVOX VoicebudVB20,n/a
120,ZVOX Voicebud,VB25,ZVOX,ZVOX VoicebudVB25,n/a
121,BlaidsX Neuro,Neuro,Blaids Hearing,BlaidsX NeuroNeuro,n/a
122,BlaidsX Pro,X Pro,Blaids Hearing,BlaidsX ProX Pro,n/a
123,BlaidsX Micro CIC,Micro CIC,Blaids Hearing,BlaidsX Micro CICMicro CIC,n/a
124,Stealth ,Stealth ,Auditech Hearing,Stealth Stealth ,n/a
125,Stealth Pro Digital ,Stealth Pro,Auditech Hearing,Stealth Pro Digital Stealth Pro,n/a
126,BTE Lightning RX,Lightning RX,Auditech Hearing,BTE Lightning RXLightning RX,n/a
127,TX-5,TX-5 Mini Plus+,Bossa Hearing Aids,TX-5TX-5 Mini Plus+,n/a
128,TX-1,TX-1 Mini Plus,Bossa Hearing Aids,TX-1TX-1 Mini Plus,n/a
129,ProTon,ProTon Plus+,Bossa Hearing Aids,ProTonProTon Plus+,n/a
130,ProTon,ProTon Max,Bossa Hearing Aids,ProTonProTon Max,n/a
131,BTE Rechargeable Hearing Aids,BTE Rechargeable Hearing Aids,The Hearing Co.,BTE Rechargeable Hearing AidsBTE Rechargeable Hearing Aids,n/a
132,Micro CIC Rechargeable Hearing Aids,Micro CIC Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Rechargeable Hearing AidsMicro CIC Rechargeable Hearing Aids,n/a
133,Bluetooth ITE Rechargeable Hearing Aids,Bluetooth ITE Rechargeable Hearing Aids,The Hearing Co.,Bluetooth ITE Rechargeable Hearing AidsBluetooth ITE Rechargeable Hearing Aids,n/a
134,Micro BTE Digital Rechargeable Hearing Aids,Micro BTE Digital Rechargeable Hearing Aids,The Hearing Co.,Micro BTE Digital Rechargeable Hearing AidsMicro BTE Digital Rechargeable Hearing Aids,n/a
135,Micro CIC Rechargeable Hearing Aids v2,Micro CIC Rechargeable Hearing Aids v2,The Hearing Co.,Micro CIC Rechargeable Hearing Aids v2Micro CIC Rechargeable Hearing Aids v2,n/a
136,Micro CIC Battery Hearing Aids,Micro CIC Battery Hearing Aids,The Hearing Co.,Micro CIC Battery Hearing AidsMicro CIC Battery Hearing Aids,n/a
162,Micro CIC Digital Rechargeable Hearing Aids,Micro CIC Digital Rechargeable Hearing Aids,The Hearing Co.,Micro CIC Digital Rechargeable Hearing AidsMicro CIC Digital Rechargeable Hearing Aids,n/a
137,D09,D09 CIC Rechargeable,Vivtone,D09D09 CIC Rechargeable,n/a
138,Lucid508,Lucid508,Vivtone,Lucid508Lucid508,n/a
139,Lucid516,Lucid516,Vivtone,Lucid516Lucid516,n/a
140,Vivtone Pro20,Vivtone Pro20,Vivtone,Vivtone Pro20Vivtone Pro20,n/a
141,Vivtone RIC02,Vivtone RIC02,Vivtone,Vivtone RIC02Vivtone RIC02,n/a
142,Vivtone D08,Vivtone D08,Vivtone,Vivtone D08Vivtone D08,n/a
143,Vivtone D07,Vivtone D07,Vivtone,Vivtone D07Vivtone D07,n/a
144,Sensley S01,Sensley S01,Vivtone,Sensley S01Sensley S01,n/a
145,Lucid 30,Lucid 30,Vivtone,Lucid 30Lucid 30,n/a
146,Smart,Smart,Vivtone,SmartSmart,n/a
147,Xpure,Xpure,Vivtone,XpureXpure,n/a
148,Autiphon U01,Autiphon U01,Vivtone,Autiphon U01Autiphon U01,n/a
149,Autiphon U02,Autiphon U02,Vivtone,Autiphon U02Autiphon U02,n/a
150,Autiphon U03,Autiphon U03,Vivtone,Autiphon U03Autiphon U03,n/a
151,EarMate-4330,EarMate-4330,HearingHelp express,EarMate-4330EarMate-4330,n/a
152,Apollo 6205,Apollo 6205,HearingHelp express,Apollo 6205Apollo 6205,n/a
153,Ranger 6205,Ranger 6205,HearingHelp express,Ranger 6205Ranger 6205,n/a
154,AudixLife,AudixLife,"RxHearing Aids, Inc.",AudixLifeAudixLife,n/a
155,AudixMax,AudixMax,"RxHearing Aids, Inc.",AudixMaxAudixMax,n/a
156,Aria,Aria,"RxHearing Aids, Inc.",AriaAria,n/a
157,Invo,Invo,"RxHearing Aids, Inc.",InvoInvo,n/a
158,Start Hearing One,Start Hearing One,Starkey,Start Hearing OneStart Hearing One,n/a
163,AirPods,3rd Generation,Apple,AirPods3rd Generation,n/a
164,Receiver in Ear Canal Rechargeable Hearing Aid,RIE 400,EarCentric,Receiver in Ear Canal Rechargeable Hearing AidRIE 400,n/a
165,EarCentric EasyCharge Rechargeable Hearing Aid,EasyCharge Rechargeable,EarCentric,EarCentric EasyCharge Rechargeable Hearing AidEasyCharge Rechargeable,n/a
166,Disco Max Wireless Rechargeable,Disco Max ,EarCentric,Disco Max Wireless RechargeableDisco Max ,n/a
167,Rechargeable Hearing Aid - Disco,Disco,EarCentric,Rechargeable Hearing Aid - DiscoDisco,n/a
168,EarCentric Choice,Choice,EarCentric,EarCentric ChoiceChoice,n/a
169,Rechargeable/Programmable Hearing Aid with USB Programming Port - EasyCharge 2,RV4,EarCentric,Rechargeable/Programmable Hearing Aid with USB Programming Port - EasyCharge 2RV4,n/a
170,Comfort 2 Mini-BTE Hearing Aid Amplifier Sound Assist by EarCentric,Comfort 2 ,EarCentric,Comfort 2 Mini-BTE Hearing Aid Amplifier Sound Assist by EarCentricComfort 2 ,n/a
171,EarCentric Linkx Wireless Hearing Aid,Linkx,EarCentric,EarCentric Linkx Wireless Hearing AidLinkx,n/a
172,EarCentric Linkx Wireless Hearing Aid,Linkx,EarCentric,EarCentric Linkx Wireless Hearing AidLinkx,n/a
173,CLARI Hearing Aids,CLARI Hearing Aids,CLARI Hearing Aids,CLARI Hearing AidsCLARI Hearing Aids,n/a
174,NoviOne,NoviOne,Novidan,NoviOneNoviOne,n/a
175,NoviOne,NoviOne,Novidan,NoviOneNoviOne,n/a
176,Mach 1,Mach 1,Sonify Hearing,Mach 1Mach 1,n/a
177,Mach 1 Pro,Mach 1 Pro,Sonify Hearing,Mach 1 ProMach 1 Pro,n/a
178,Mach 1 Pro Wireless,Mach 1 Pro W,Sonify Hearing,Mach 1 Pro WirelessMach 1 Pro W,n/a
181,Tuned Lumen 155,Lumen 155,Intrisound,Tuned Lumen 155Lumen 155,